2015,49,Sim,Não,Não,Não,5550000,22200,Indústria,Naviraí,Em operação,-22.997838,-54.365514,MS
2014,50,Sim,Não,Não,Não,937500,3750,Indústria,Ocauçu,Em operação,-22.450077,-49.930532,SP
2012,51,Sim,Não,Não,Não,1480000,5920,Indústria,Ibirarema,Em operação,-22.788958,-50.10291,SP
2013,52,Sim,Não,Não,Não,2775000,11100,Indústria,Paranavaí,Em operação,-23.064154,-52.60432,PR
2013,53,Sim,Não,Não,Não,1665000,6660,Indústria,Nova Santa Rosa,Em reforma,-24.427186,-53.977442,PR
2014,54,Sim,Não,Não,Não,1665000,6660,Indústria,Cândido Mota,Em operação,-22.737744,-50.366301,SP
2014,55,Sim,Não,Não,Não,925000,3700,Indústria,Cândido Mota,Em operação,-22.736724,-50.365568,SP
2013,56,Sim,Não,Não,Não,1202500,4810,Indústria,Santo Antônio de Jesus,Em operação,-13.093812,-39.279059,BA
2013,57,Sim,Não,Não,Não,1387500,5550,Indústria,Sete Quedas,Em operação,-23.96619,-55.014902,MS
2014,58,Sim,Não,Não,Não,500000,2000,Indústria,Campo Mourão,Em operação,-23.966527,-52.570058,PR
2012,59,Sim,Não,Não,Não,750000,3000,Indústria,Assis Chateaubriand,Em operação,-24.385782,-53.573496,PR
2015,60,Sim,Sim,Não,Não,730000,2000,Agropecuária,Itapiranga,Em implantação,-27.150323,-53.698382,SC
2005,61,Sim,Sim,Não,Não,156429,428.6,Agropecuária,Oliveira,Em operação,-20.849301,-44.809751,MG
2012,63,Sim,Não,Não,Não,200940,550.5,Agropecuária,Vacaria,Em operação,-28.405793,-50.89562,RS
2004,65,Não,Sim,Sim,Não,134082,367.3,Agropecuária,Piranga,Em operação,-20.695642,-43.222901,MG
2019,66,Sim,Não,Sim,Não,5961660,16333.3,Agropecuária,Faxinal dos Guedes,Em operação,-26.85797,-52.302674,SC
2005,67,Não,Sim,Sim,Não,205592,563.3,Agropecuária,Toledo,Em operação,-24.782493,-53.761721,PR
2013,70,Não,Sim,Não,Não,171625,470.2,Agropecuária,São Martinho,Em operação,-27.685574,-53.963793,RS
2013,71,Sim,Sim,Não,Sim,438000,1200,Agropecuária,Castro,Em operação,-24.797741,-49.892134,PR
2008,73,Não,Sim,Não,Não,178776,489.8,Agropecuária,Selbach,Em operação,-28.676692,-52.936609,RS
2010,74,Não,Sim,Não,Não,343249,940.4,Agropecuária,Carlos Barbosa,Em operação,-29.313824,-51.476107,RS
2009,76,Sim,Sim,Não,Não,320328,877.6,Agropecuária,Campos Novos,Em operação,-27.466978,-51.219313,SC
2007,77,Sim,Não,Não,Não,605064,1657.7,Agropecuária,Campos Novos,Em operação,-27.378611,-51.041744,SC
